R_fighter,B_fighter,Winner
Daniel Omielanczuk,Anthony Hamilton,Blue
Izabela Badurek,Aleksandra Albu,Blue
Taylor Lapilus,Rocky Lee,Red
Marcin Bandel,Stevie Ray,Blue
Jorge Masvidal,Al Iaquinta,Blue
Chad Mendes,Ricardo Lamas,Red
Gray Maynard,Alexander Yakovlev,Blue
Michael Chiesa,Mitch Clarke,Red
Clay Guida,Robert Peralta,Red
Julianna Pena,Milana Dudieva,Red
Dustin Poirier,Diego Ferreira,Red
Shamil Abdurakhimov,Timothy Johnson,Blue
Liz Carmouche,Lauren Murphy,Red
Ron Stallings,Justin Jones,Red
Leonardo Santos,Anthony Rocco Martin,Red
Amanda Nunes,Shayna Baszler,Red
Godofredo Pepey,Andre Fili,Red
Gilbert Burns,Alex Oliveira,Red
Francisco Trinaldo,Akbarh Arreola,Red
Demian Maia,Ryan LaFlare,Red
Edimilson Souza,Katsunori Kikuno,Red
Erick Silva,Josh Koscheck,Red
Leonardo Mafra,Cain Carrizosa,Red
Leandro Silva,Drew Dober,Draw
Jorge de Oliveira,Christos Giagos,Blue
Bentley Syler,Fredy Serrano,Blue
Elias Theodorou,Roger Narvaez,Red
Johny Hendricks,Matt Brown,Red
Carla Esparza,Joanna Jedrzejczyk,Blue
Ross Pearson,Sam Stout,Red
Chris Cariaso,Henry Cejudo,Blue
Roy Nelson,Alistair Overeem,Blue
Anthony Pettis,Rafael Dos Anjos,Blue
Daron Cruickshank,Beneil Dariush,Blue
Jake Lindsey,Joe Duffy,Blue
Sergio Pettis,Ryan Benoit,Blue
Jared Rosholt,Josh Copeland,Red
Larissa Pacheco,Germaine de Randamie,Blue
Jake Ellenberger,Josh Koscheck,Red
Dhiego Lima,Tim Means,Blue
Mark Munoz,Roan Carneiro,Blue
Roman Salazar,Norifumi Yamamoto,Draw
Tony Ferguson,Gleison Tibau,Red
Ronda Rousey,Cat Zingano,Red
Raquel Pennington,Holly Holm,Blue
James Krause,Valmir Lazaro,Blue
Alan Jouban,Richard Walsh,Red
Derrick Lewis,Ruan Potts,Red
Masio Fullen,Alex Torres,Red
Cezar Ferreira,Sam Alvey,Blue
Santiago Ponzinibbio,Sean Strickland,Red
Iuri Alcantara,Frankie Saenz,Blue
Antonio Silva,Frank Mir,Blue
Rustam Khabilov,Adriano Martins,Blue
Jessica Andrade,Marion Reneau,Blue
Edson Barboza,Michael Johnson,Blue
William Macario,Matt Dwyer,Blue
Tiago dos Santos e Silva,Mike de la Torre,Blue
Douglas Silva de Andrade,Cody Gibson,Red
Ivan Jorge,Josh Shockley,Red
Michel Prazeres,Kevin Lee,Blue
Efrain Escudero,Rodrigo de Lima,Red
Benson Henderson,Brandon Thatch,Red
Ray Borg,Chris Kelades,Red
Chas Skelly,Jim Alers,Red
Neil Magny,Kiichi Kunimoto,Red
Daniel Kelly,Patrick Walsh,Red
Max Holloway,Cole Miller,Red
James Moontasri,Cody Pfister,Red
Zach Makovsky,Tim Elliott,Red
Ed Herman,Derek Brunson,Blue
Joe Lauzon,Al Iaquinta,Blue
Jordan Mein,Thiago Alves,Blue
Tyron Woodley,Kelvin Gastelum,Red
Ian McCall,John Lineker,Blue
Anderson Silva,Nick Diaz,Draw
Thales Leites,Tim Boetsch,Red
Miesha Tate,Sara McMann,Red
Rafael Natal,Tom Watson,Red
Thiago Santos,Andy Enz,Red
Richardson Moreira,Ildemar Alcantara,Blue
Kenny Robertson,Sultan Aliev,Red
Alexander Gustafsson,Anthony Johnson,Blue
Andy Ogle,Makwan Amirkhani,Blue
Akira Corassani,Sam Sicilia,Blue
Dan Henderson,Gegard Mousasi,Blue
Phil Davis,Ryan Bader,Blue
Nicholas Musoke,Albert Tumenov,Blue
Nikita Krylov,Stanislav Nedkov,Red
Mairbek Taisumov,Anthony Christodoulou,Red
Mirsad Bektic,Paul Redmond,Red
Neil Seery,Chris Beal,Red
Viktor Pesta,Konstantin Erokhin,Red
Zhang Lipeng,Chris Wade,Blue
Norman Parke,Gleison Tibau,Blue
Conor McGregor,Dennis Siver,Red
Donald Cerrone,Benson Henderson,Red
John Howard,Lorenz Larkin,Blue
Paddy Holohan,Shane Howell,Red
Uriah Hall,Ron Stallings,Red
Cathal Pendred,Sean Spencer,Red
Johnny Case,Frankie Perez,Red
Charles Rosa,Sean Soriano,Red
Matt Van Buren,Sean O'Connell,Blue
Tateki Matsuda,Joby Sanchez,Blue
Donald Cerrone,Myles Jury,Red
Shawn Jordan,Jared Cannonier,Red
Brad Tavares,Nate Marquardt,Red
Hector Lombard,Joshua Burkman,Draw
Marcus Brimage,Cody Garbrandt,Blue
Jon Jones,Daniel Cormier,Red
Kyoji Horiguchi,Louis Gaudinot,Red
Danny Castillo,Paul Felder,Blue
Omari Akhmedov,Mats Nilsson,Red
Alexis Dufresne,Marion Reneau,Blue
Evan Dunham,Rodrigo Damm,Red
Erick Silva,Mike Rhodes,Red
Lyoto Machida,CB Dollaway,Red
Antonio Carlos Junior,Patrick Cummins,Blue
Renan Barao,Mitch Gagnon,Red
Tom Niinimaki,Renato Moicano,Blue
Daniel Sarafian,Antonio Dos Santos,Red
Marcos Rogerio de Lima,Igor Pokrajac,Red
Elias Silverio,Rashid Magomedov,Blue
Vitor Miranda,Jake Collier,Red
Leandro Issa,Yuta Sasaki,Red
Marcio Alexandre Junior,Tim Means,Blue
Darren Elkins,Hacran Dias,Blue
Gabriel Gonzaga,Matt Mitrione,Blue
Joe Riggs,Ben Saunders,Blue
John Moraga,Willie Gates,Red
Rafael Dos Anjos,Nate Diaz,Red
Alistair Overeem,Stefan Struve,Red
Claudia Gadelha,Joanna Jedrzejczyk,Blue
Jamie Varner,Drew Dober,Blue
Junior Dos Santos,Stipe Miocic,Red
David Michaud,Garett Whiteley,Red
Joe Ellenberger,Bryan Barberena,Blue
Anthony Birchak,Ian Entwistle,Blue
Henry Cejudo,Dustin Kimura,Red
KJ Noons,Daron Cruickshank,Draw
Felice Herrig,Lisa Ellis,Red
Joe Proctor,Yancy Medeiros,Blue
Jeremy Stephens,Charles Oliveira,Blue
Jessica Penne,Randa Markos,Red
Carla Esparza,Rose Namajunas,Red
Bec Rawlings,Heather Clark,Blue
Joanne Calderwood,Seo Hee Ham,Red
Aisling Daly,Alex Chambers,Red
Tecia Torres,Angela Magana,Red
Emily Kagan,Angela Hill,Blue
Corey Anderson,Justin Jones,Red
Todd Duffee,Anthony Hamilton,Red
Tony Ferguson,Abel Trujillo,Red
Anthony Pettis,Gilbert Melendez,Red
Eddie Gordon,Josh Samman,Blue
Travis Browne,Brendan Schaub,Red
Urijah Faber,Francisco Rivera,Red
Johny Hendricks,Robbie Lawler,Blue
Raquel Pennington,Ashlee Evans-Smith,Red
Sergio Pettis,Matt Hobar,Red
Alex White,Clay Collard,Blue
Luke Barnatt,Roger Narvaez,Blue
Frankie Edgar,Cub Swanson,Red
Jared Rosholt,Aleksei Oleinik,Blue
Ruslan Magomedov,Josh Copeland,Red
Joseph Benavidez,Dustin Ortiz,Red
Brad Pickett,Chico Camus,Blue
Bobby Green,Edson Barboza,Blue
Matt Wiman,Isaac Vallie-Flagg,Red
James Vick,Nick Hein,Red
Paige VanZant,Kailin Curran,Red
Yves Edwards,Akbarh Arreola,Blue
Juan Manuel Puig,Dooho Choi,Blue
Fabricio Werdum,Mark Hunt,Red
Ricardo Lamas,Dennis Bermudez,Red
Jessica Eye,Leslie Smith,Red
Alejandro Perez,Jose Quinonez,Red
Augusto Montano,Chris Heatherly,Red
Yair Rodriguez,Leonardo Morales,Red
Jake Ellenberger,Kelvin Gastelum,Blue
Edgar Garcia,Hector Urbina,Blue
Henry Briones,Guido Cannetti,Red
Gabriel Benitez,Humberto Brown Morrison,Red
Marco Beltran,Marlon Vera,Red
Leandro Silva,Charlie Brenneman,Red
Claudio Silva,Leon Edwards,Red
Caio Magalhaes,Trevor Smith,Red
Dhiego Lima,Jorge de Oliveira,Red
Warlley Alves,Alan Jouban,Red
Mauricio Rua,Ovince Saint Preux,Blue
Juliana Lima,Nina Ansaroff,Red
Diego Rivas,Rodolfo Rubio Perez,Red
Thomas Almeida,Tim Gorman,Red
Wagner Silva,Colby Covington,Blue
Luke Rockhold,Michael Bisping,Red
Robert Whittaker,Clint Hester,Red
Richie Vaculik,Louis Smolka,Blue
Jake Matthews,Vagner Rocha,Red
Soa Palelei,Walt Harris,Red
Anthony Perosh,Guto Inocente,Red
Dylan Andrews,Sam Alvey,Blue
Ross Pearson,Al Iaquinta,Blue
Jumabieke Tuerxun,Marcus Brimage,Blue
Vik Grujic,Chris Clements,Blue
Luke Zachrich,Daniel Kelly,Blue
William Macario,Neil Magny,Blue
Diego Ferreira,Beneil Dariush,Blue
Darren Elkins,Lucas Martins,Red
Glover Teixeira,Phil Davis,Blue
Yan Cabral,Naoyuki Kotani,Red
Scott Jorgensen,Wilson Reis,Blue
Fabio Maldonado,Hans Stringer,Red
Jose Aldo,Chad Mendes,Red
Fabricio Camoes,Anthony Rocco Martin,Blue
Gilbert Burns,Christos Giagos,Red
Felipe Arantes,Andre Fili,Blue
Mitch Gagnon,Roman Salazar,Red
Olivier Aubin-Mercier,Jake Lindsey,Red
Nordine Taleb,Li Jingliang,Red
Rory MacDonald,Tarec Saffiedine,Red
Chad Laprise,Yosdenis Cedeno,Red
Raphael Assuncao,Bryan Caraway,Red
Daron Cruickshank,Anthony Njokuani,Red
Elias Theodorou,Bruno Santos,Red
Paddy Holohan,Chris Kelades,Blue
Jason Saggo,Paul Felder,Blue
Albert Tumenov,Matt Dwyer,Red
Pedro Munhoz,Jerrod Sanders,Draw
Nicholas Musoke,Alexander Yakovlev,Red
Cathal Pendred,Gasan Umalatov,Red
Akira Corassani,Max Holloway,Blue
Dennis Siver,Charles Rosa,Red
Gunnar Nelson,Rick Story,Blue
Magnus Cedenblad,Scott Askham,Red
Niklas Backstrom,Mike Wilkinson,Blue
Ilir Latifi,Jan Blachowicz,Blue
Tor Troeng,Krzysztof Jotko,Blue
Mairbek Taisumov,Marcin Bandel,Red
Zubaira Tukhugov,Ernest Chavez,Red
Dustin Poirier,Conor McGregor,Blue
Cat Zingano,Amanda Nunes,Red
Jorge Masvidal,James Krause,Red
Donald Cerrone,Eddie Alvarez,Red
Tim Kennedy,Yoel Romero,Blue
Demetrious Johnson,Chris Cariaso,Red
Dominick Cruz,Takeya Mizugaki,Red
Patrick Cote,Stephen Thompson,Blue
Manvel Gamburyan,Cody Gibson,Red
John Howard,Brian Ebersole,Blue
Jon Tuck,Kevin Lee,Blue
Kiichi Kunimoto,Richard Walsh,Red
Miesha Tate,Rin Nakai,Red
Katsunori Kikuno,Sam Sicilia,Red
Mark Hunt,Roy Nelson,Red
Yoshihiro Akiyama,Amir Sadollah,Red
Alex Caceres,Masanori Kanehara,Blue
Myles Jury,Takanori Gomi,Red
Kyoji Horiguchi,Jon Delos Reyes,Red
Michinori Tanaka,Kyung Ho Kang,Blue
Hyun Gyu Lim,Takenori Sato,Red
Kazuki Tokudome,Johnny Case,Blue
Maximo Blanco,Dan Hooker,Red
Antonio Silva,Andrei Arlovski,Blue
Iuri Alcantara,Russell Doane,Red
Santiago Ponzinibbio,Wendell Oliveira Marques,Red
Jessica Andrade,Larissa Pacheco,Red
Gleison Tibau,Piotr Hallmann,Red
Leonardo Santos,Efrain Escudero,Red
Igor Araujo,George Sullivan,Blue
Godofredo Pepey,Dashon Johnson,Red
Paulo Thiago,Sean Spencer,Blue
Francisco Trinaldo,Leandro Silva,Red
Rani Yahya,Johnny Bedford,Red
Chris Beal,Tateki Matsuda,Red
Joe Lauzon,Michael Chiesa,Red
Jacare Souza,Gegard Mousasi,Red
Rafael Natal,Chris Camozzi,Red
Matt Mitrione,Derrick Lewis,Red
John Moraga,Justin Scoggins,Red
Al Iaquinta,Rodrigo Damm,Red
Alistair Overeem,Ben Rothwell,Blue
Sean Soriano,Chas Skelly,Blue
Chris Wade,Cain Carrizosa,Red
Lorenz Larkin,Derek Brunson,Blue
Bethe Correia,Shayna Baszler,Red
Ruan Potts,Anthony Hamilton,Blue
Ramsey Nijem,Diego Ferreira,Blue
TJ Dillashaw,Joe Soto,Red
Yancy Medeiros,Damon Jackson,Red
Tony Ferguson,Danny Castillo,Red
Max Holloway,Clay Collard,Red
Francis Carmont,Thales Leites,Blue
Mike Pyle,Jordan Mein,Blue
Chas Skelly,Tom Niinimaki,Red
James Vick,Valmir Lazaro,Red
Neil Magny,Alex Garcia,Red
Beneil Dariush,Anthony Rocco Martin,Red
Benson Henderson,Rafael Dos Anjos,Blue
Aaron Phillips,Matt Hobar,Blue
Ben Saunders,Chris Heatherly,Red
Wilson Reis,Joby Sanchez,Red
Roland Delorme,Yuta Sasaki,Blue
Anying Wang,Colby Covington,Blue
Tyron Woodley,Dong Hyun Kim,Red
Zhang Lipeng,Brendan O'Reilly,Red
Michael Bisping,Cung Le,Red
Sai Wang,Danny Mitchell,Red
Guangyou Ning,Jianping Yang,Red
Alberto Mina,Shinsho Anzai,Red
Yao Zhikui,Royston Wee,Blue
Elizabeth Phillips,Milana Dudieva,Blue
Gray Maynard,Ross Pearson,Blue
Shawn Jordan,Jack May,Red
Thiago Tavares,Robert Peralta,Red
Sara McMann,Lauren Murphy,Red
Tim Boetsch,Brad Tavares,Red
Jussier Formiga,Zach Makovsky,Red
Ryan Bader,Ovince Saint Preux,Red
Seth Baczynski,Alan Jouban,Blue
Tom Watson,Sam Alvey,Red
Nolan Ticman,Frankie Saenz,Blue
Clay Guida,Dennis Bermudez,Blue
Mike de la Torre,Brian Ortega,Draw
Robbie Lawler,Matt Brown,Red
Anthony Johnson,Rogerio Nogueira,Red
Hernani Perpetuo,Tim Means,Blue
Josh Thomson,Bobby Green,Blue
Daron Cruickshank,Jorge Masvidal,Blue
Kyle Kingsbury,Patrick Cummins,Blue
Akbarh Arreola,Tiago dos Santos e Silva,Blue
Andreas Stahl,Gilbert Burns,Blue
Juliana Lima,Joanna Jedrzejczyk,Blue
Steven Siler,Noad Lahat,Blue
Gunnar Nelson,Zak Cummings,Red
Ilir Latifi,Chris Dempsey,Red
Tor Troeng,Trevor Smith,Blue
Norman Parke,Naoyuki Kotani,Red
Conor McGregor,Diego Brandao,Red
Neil Seery,Phil Harris,Red
Brad Pickett,Ian McCall,Blue
Cathal Pendred,Mike King,Red
Cody Donovan,Nikita Krylov,Blue
Paddy Holohan,Josh Sampo,Red
Lucas Martins,Alex White,Red
Rick Story,Leonardo Mafra,Red
Jessamyn Duke,Leslie Smith,Blue
Donald Cerrone,Jim Miller,Red
Edson Barboza,Evan Dunham,Red
John Lineker,Alptekin Ozkilic,Red
Gleison Tibau,Pat Healy,Red
Justin Salas,Joe Proctor,Blue
Yosdenis Cedeno,Jerrod Sanders,Red
Hugo Viana,Aljamain Sterling,Blue
Claudia Gadelha,Tina Lahdemaki,Red
Dhiego Lima,Eddie Gordon,Blue
Justin Scoggins,Dustin Ortiz,Blue
Adriano Martins,Juan Manuel Puig,Red
Jumabieke Tuerxun,Leandro Issa,Blue
Jesse Ronson,Kevin Lee,Blue
Derrick Lewis,Guto Inocente,Red
Corey Anderson,Matt Van Buren,Red
Frankie Edgar,BJ Penn,Red
Patrick Walsh,Daniel Spohn,Red
Robert Drysdale,Keith Berish,Draw
Sarah Moras,Alexis Dufresne,Red
Chris Camozzi,Bruno Santos,Blue
Marcus Brimage,Russell Doane,Blue
Urijah Faber,Alex Caceres,Red
George Roop,Rob Font,Blue
Uriah Hall,Thiago Santos,Red
Chris Weidman,Lyoto Machida,Red
Ronda Rousey,Alexis Davis,Red
Kenny Robertson,Ildemar Alcantara,Red
Luke Zachrich,Guilherme Vasconcelos,Red
Kevin Casey,Bubba Bush,Draw
Colton Smith,Diego Ferreira,Blue
Johnny Bedford,Cody Gibson,Blue
Cub Swanson,Jeremy Stephens,Red
Joe Ellenberger,James Moontasri,Red
Cezar Ferreira,Andrew Craig,Red
Ricardo Lamas,Hacran Dias,Red
Kelvin Gastelum,Nicholas Musoke,Red
Aleksei Oleinik,Anthony Hamilton,Red
Marcelo Guimaraes,Andy Enz,Red
Ray Borg,Shane Howell,Red
Clint Hester,Antonio Braga Neto,Red
Jake Matthews,Dashon Johnson,Red
Neil Magny,Rodrigo de Lima,Red
Soa Palelei,Jared Rosholt,Blue
Richie Vaculik,Roldan Sangcha'an,Red
James Te Huna,Nate Marquardt,Blue
Hatsu Hioki,Charles Oliveira,Blue
Chris Indich,Vik Grujic,Blue
Robert Whittaker,Mike Rhodes,Red
Dan Hooker,Ian Entwistle,Red
Gian Villante,Sean O'Connell,Red
Rory MacDonald,Tyron Woodley,Red
Demetrious Johnson,Ali Bagautinov,Red
Ryan Bader,Rafael Cavalcante,Red
Andrei Arlovski,Brendan Schaub,Red
Ovince Saint Preux,Ryan Jimmo,Red
Valerie Letourneau,Elizabeth Phillips,Red
Yves Jabouin,Mike Easton,Red
Daniel Sarafian,Kiichi Kunimoto,Blue
Roland Delorme,Michinori Tanaka,Blue
Jason Saggo,Josh Shockley,Red
Kajan Johnson,Tae Hyun Bang,Blue
John Dodson,John Moraga,Red
Benson Henderson,Rustam Khabilov,Red
Yves Edwards,Piotr Hallmann,Blue
Diego Sanchez,Ross Pearson,Red
Bobby Voelker,Lance Benoist,Blue
Yaotzin Meza,Sergio Pettis,Blue
Erik Perez,Bryan Caraway,Blue
Rafael Dos Anjos,Jason High,Red
Scott Jorgensen,Danny Martinez,Red
Patrick Cummins,Roger Narvaez,Red
Jon Tuck,Jake Lindsey,Red
Paulo Thiago,Gasan Umalatov,Blue
Rony Jason,Robert Peralta,Blue
Stipe Miocic,Fabio Maldonado,Red
Rodrigo Damm,Rashid Magomedov,Blue
Marcio Alexandre Junior,Warlley Alves,Blue
Demian Maia,Alexander Yakovlev,Red
Vitor Miranda,Antonio Carlos Junior,Blue
Elias Silverio,Ernest Chavez,Red
Pedro Munhoz,Matt Hobar,Red
Edimilson Souza,Mark Eddiva,Red
Ricardo Abreu,Wagner Silva,Red
Marcos Rogerio de Lima,Richardson Moreira,Red
Francis Carmont,CB Dollaway,Blue
Nick Hein,Drew Dober,Red
Vaughan Lee,Iuri Alcantara,Blue
Luke Barnatt,Sean Strickland,Blue
Mark Munoz,Gegard Mousasi,Blue
Tom Niinimaki,Niklas Backstrom,Blue
Peter Sobotta,Pawel Pawlak,Red
Magnus Cedenblad,Krzysztof Jotko,Red
Andy Ogle,Maximo Blanco,Blue
Viktor Pesta,Ruslan Magomedov,Blue
Michael Chiesa,Francisco Trinaldo,Red
Daniel Cormier,Dan Henderson,Red
Tony Ferguson,Katsunori Kikuno,Red
Takeya Mizugaki,Francisco Rivera,Red
Jamie Varner,James Krause,Blue
Renan Barao,TJ Dillashaw,Blue
Robbie Lawler,Jake Ellenberger,Red
Chris Holdsworth,Chico Camus,Red
Al Iaquinta,Mitch Clarke,Blue
Anthony Njokuani,Vinc Pichel,Blue
Sam Sicilia,Aaron Phillips,Red
David Michaud,Li Jingliang,Blue
Neil Magny,Tim Means,Red
Matt Brown,Erick Silva,Red
Soa Palelei,Ruan Potts,Red
Erik Koch,Daron Cruickshank,Blue
Chris Cariaso,Louis Smolka,Red
Kyoji Horiguchi,Darrell Montague,Red
Constantinos Philippou,Lorenz Larkin,Red
Ed Herman,Rafael Natal,Red
Yan Cabral,Zak Cummings,Blue
Eddie Wineland,Johnny Eduardo,Blue
Manvel Gamburyan,Nik Lentz,Blue
Justin Salas,Ben Wall,Red
Anthony Lapsley,Albert Tumenov,Blue
Takanori Gomi,Isaac Vallie-Flagg,Red
Joseph Benavidez,Tim Elliott,Red
Jon Jones,Glover Teixeira,Red
Phil Davis,Anthony Johnson,Blue
Max Holloway,Andre Fili,Red
Jessamyn Duke,Bethe Correia,Blue
Luke Rockhold,Tim Boetsch,Red
Jim Miller,Yancy Medeiros,Red
Danny Castillo,Charlie Brenneman,Red
Chris Beal,Patrick Williams,Red
Thiago Alves,Seth Baczynski,Red
Fabricio Werdum,Travis Browne,Red
Estevan Payan,Alex White,Blue
Donald Cerrone,Edson Barboza,Red
Jorge Masvidal,Pat Healy,Red
Rafael Dos Anjos,Khabib Nurmagomedov,Blue
Brad Tavares,Yoel Romero,Blue
Miesha Tate,Liz Carmouche,Red
Derrick Lewis,Jack May,Red
Dustin Ortiz,Ray Borg,Red
Mirsad Bektic,Chas Skelly,Red
Jordan Mein,Hernani Perpetuo,Red
Caio Magalhaes,Luke Zachrich,Red
Ryan Jimmo,Sean O'Connell,Red
Chad Laprise,Olivier Aubin-Mercier,Red
Patrick Cote,Kyle Noke,Red
Michael Bisping,Tim Kennedy,Blue
Sheldon Westcott,Elias Theodorou,Blue
Dustin Poirier,Akira Corassani,Red
Sarah Kaufman,Leslie Smith,Red
Sam Stout,KJ Noons,Blue
George Roop,Dustin Kimura,Red
Mark Bocek,Mike de la Torre,Red
Mitch Gagnon,Tim Gorman,Red
Nordine Taleb,Vik Grujic,Red
Richard Walsh,Chris Indich,Red
Ramsey Nijem,Beneil Dariush,Red
Jared Rosholt,Daniel Omielanczuk,Red
Clay Guida,Tatsuya Kawajiri,Red
Thales Leites,Trevor Smith,Red
Rani Yahya,Johnny Bedford,Draw
Alan Omer,Jim Alers,Blue
Antonio Rodrigo Nogueira,Roy Nelson,Blue
John Howard,Ryan LaFlare,Blue
Cezar Ferreira,CB Dollaway,Blue
Leonardo Santos,Norman Parke,Draw
Ronny Markes,Thiago Santos,Blue
Fabio Maldonado,Gian Villante,Red
Jussier Formiga,Scott Jorgensen,Red
Rony Jason,Steven Siler,Red
Mauricio Rua,Dan Henderson,Blue
Michel Prazeres,Mairbek Taisumov,Red
Thiago Perpetuo,Kenny Robertson,Blue
Godofredo Pepey,Noad Lahat,Red
Francimar Barroso,Hans Stringer,Blue
Carlos Condit,Tyron Woodley,Blue
Ovince Saint Preux,Nikita Krylov,Red
Kelvin Gastelum,Rick Story,Red
Johny Hendricks,Robbie Lawler,Red
Dennis Bermudez,Jimy Hettes,Red
Raquel Pennington,Jessica Andrade,Blue
Diego Sanchez,Myles Jury,Blue
Jake Shields,Hector Lombard,Blue
Robert McDaniel,Sean Strickland,Blue
Will Campuzano,Justin Scoggins,Blue
Sean Spencer,Alex Garcia,Blue
Daniel Pineda,Robert Whiteford,Blue
Renee Forte,Francisco Trevino,Blue
Luke Barnatt,Mats Nilsson,Red
Alexander Gustafsson,Jimi Manuwa,Red
Brad Pickett,Neil Seery,Red
Gunnar Nelson,Omari Akhmedov,Red
Cyrille Diabate,Ilir Latifi,Blue
Brad Scott,Claudio Silva,Blue
Igor Araujo,Danny Mitchell,Red
Michael Johnson,Melvin Guillard,Red
Phil Harris,Louis Gaudinot,Draw
Albert Cheng,Anying Wang,Blue
Hatsu Hioki,Ivan Menjivar,Red
Sai Wang,Zhang Lipeng,Blue
Kazuki Tokudome,Yui Chul Nam,Blue
Dong Hyun Kim,John Hathaway,Red
Jumabieke Tuerxun,Mark Eddiva,Blue
Nam Phan,Vaughan Lee,Blue
Matt Mitrione,Shawn Jordan,Red
Cody Gibson,Aljamain Sterling,Blue
Alexis Davis,Jessica Eye,Red
Robert Whittaker,Stephen Thompson,Blue
Raphael Assuncao,Pedro Munhoz,Red
Rory MacDonald,Demian Maia,Red
Mike Pyle,TJ Waldburger,Red
Daniel Cormier,Patrick Cummins,Red
Ronda Rousey,Sara McMann,Red
Rafaello Oliveira,Erik Koch,Blue
Zach Makovsky,Josh Sampo,Red
Ernest Chavez,Yosdenis Cedeno,Red
Lyoto Machida,Gegard Mousasi,Red
Erick Silva,Takenori Sato,Red
Viscardi Andrade,Nicholas Musoke,Blue
Rodrigo Damm,Ivan Jorge,Red
Francisco Trinaldo,Jesse Ronson,Red
Charles Oliveira,Andy Ogle,Red
Jacare Souza,Francis Carmont,Red
Cristiano Marcello,Joe Proctor,Blue
Iuri Alcantara,Wilson Reis,Red
Ildemar Alcantara,Albert Tumenov,Red
Felipe Arantes,Maximo Blanco,Red
Douglas Silva de Andrade,Zubaira Tukhugov,Blue
Renan Barao,Urijah Faber,Red
Chris Cariaso,Danny Martinez,Red
Jamie Varner,Abel Trujillo,Blue
Jose Aldo,Ricardo Lamas,Red
John Lineker,Ali Bagautinov,Blue
John Makdessi,Alan Patrick,Blue
Frank Mir,Alistair Overeem,Blue
Nick Catone,Tom Watson,Red
Clint Hester,Andy Enz,Red
Al Iaquinta,Kevin Lee,Red
Anthony Rocco Martin,Rashid Magomedov,Blue
Neil Magny,Gasan Umalatov,Red
Chico Camus,Yaotzin Meza,Draw
Eddie Wineland,Yves Jabouin,Red
Stipe Miocic,Gabriel Gonzaga,Red
Donald Cerrone,Adriano Martins,Red
Benson Henderson,Josh Thomson,Red
Ramiro Hernandez,Hugo Viana,Blue
Darren Elkins,Jeremy Stephens,Blue
Alex Caceres,Sergio Pettis,Red
Daron Cruickshank,Mike Rio,Red
George Sullivan,Mike Rhodes,Red
Walt Harris,Nikita Krylov,Blue
Luke Rockhold,Constantinos Philippou,Red
Isaac Vallie-Flagg,Elias Silverio,Blue
John Moraga,Dustin Ortiz,Red
TJ Dillashaw,Mike Easton,Red
Yoel Romero,Derek Brunson,Red
Ramsey Nijem,Justin Edwards,Red
Cole Miller,Sam Sicilia,Red
Lorenz Larkin,Brad Tavares,Blue
Vinc Pichel,Garett Whiteley,Red
Alptekin Ozkilic,Louis Smolka,Blue
Trevor Smith,Brian Houston,Red
Charlie Brenneman,Beneil Dariush,Blue
Mairbek Taisumov,Tae Hyun Bang,Red
Kiichi Kunimoto,Luiz Dutra,Red
Katsunori Kikuno,Quinn Mulhern,Red
Royston Wee,Dave Galera,Red
Tarec Saffiedine,Hyun Gyu Lim,Red
Tatsuya Kawajiri,Sean Soriano,Red
Max Holloway,Will Chope,Red
Kyung Ho Kang,Shunichi Shimizu,Red
Dustin Kimura,Jon Delos Reyes,Red
Leandro Issa,Russell Doane,Blue
Dustin Poirier,Diego Brandao,Red
Chris Leben,Uriah Hall,Blue
Josh Barnett,Travis Browne,Blue
Gleison Tibau,Michael Johnson,Blue
Chris Weidman,Anderson Silva,Red
Ronda Rousey,Miesha Tate,Red
Jim Miller,Fabricio Camoes,Red
Dennis Siver,Manvel Gamburyan,Draw
William Macario,Bobby Voelker,Red
Robert Peralta,Estevan Payan,Red
John Howard,Siyar Bahadurzada,Red
Demetrious Johnson,Joseph Benavidez,Red
Court McGee,Ryan LaFlare,Blue
Danny Castillo,Edson Barboza,Blue
Bobby Green,Pat Healy,Red
Chad Mendes,Nik Lentz,Red
Urijah Faber,Michael McDonald,Red
Scott Jorgensen,Zach Makovsky,Blue
Joe Lauzon,Mac Danzig,Red
Abel Trujillo,Roger Bowling,Red
Sam Stout,Cody McKenzie,Red
Darren Uyenoyama,Alptekin Ozkilic,Blue
Nick Ring,Caio Magalhaes,Blue
Pat Barry,Soa Palelei,Blue
Takeya Mizugaki,Nam Phan,Red
Dylan Andrews,Clint Hester,Blue
Ryan Bader,Anthony Perosh,Red
Mark Hunt,Antonio Silva,Draw
Mauricio Rua,James Te Huna,Red
Julie Kedzie,Bethe Correia,Blue
Ben Wall,Alex Garcia,Blue
Richie Vaculik,Justin Scoggins,Blue
Bruno Santos,Krzysztof Jotko,Blue
Akira Corassani,Maximo Blanco,Red
Julianna Pena,Jessica Rakoczy,Red
Rani Yahya,Tom Niinimaki,Blue
Gray Maynard,Nate Diaz,Blue
Chris Holdsworth,Davey Grant,Red
Jessamyn Duke,Peggy Morgan,Red
Roxanne Modafferi,Raquel Pennington,Blue
Sean Spencer,Drew Dober,Red
Josh Sampo,Ryan Benoit,Red
Jared Rosholt,Walt Harris,Red
Josh Koscheck,Tyron Woodley,Blue
Georges St-Pierre,Johny Hendricks,Red
Rashad Evans,Chael Sonnen,Red
