R_fighter,B_fighter,Winner
Shane Young,Ludovit Klein,Blue
Diego Sanchez,Jake Matthews,Blue
Brad Riddell,Alex Da Silva,Red
Dominick Reyes,Jan Blachowicz,Blue
Hakeem Dawodu,Zubaira Tukhugov,Red
William Knight,Aleksa Camur,Red
Khadis Ibragimov,Danilo Marques,Blue
Juan Espino,Jeff Hughes,Red
Johnny Walker,Ryan Spann,Red
Mirsad Bektic,Damon Jackson,Blue
Colby Covington,Tyron Woodley,Red
Mackenzie Dern,Randa Markos,Red
Jordan Espinosa,David Dvorak,Blue
Kevin Holland,Darren Stewart,Red
Khamzat Chimaev,Gerald Meerschaert,Red
Donald Cerrone,Niko Price,Draw
Jessica-Rose Clark,Sarah Alpar,Red
Darrick Minner,TJ Laramie,Red
Journey Newson,Randy Costa,Blue
Mayra Bueno Silva,Mara Romero Borella,Red
Andre Ewell,Irwin Rivera,Red
Tyson Nam,Jerome Rivera,Red
Bobby Green,Alan Patrick,Red
Roosevelt Roberts,Kevin Croom,Draw
Billy Quarantillo,Kyle Nelson,Red
Julia Avila,Sijara Eubanks,Blue
Michelle Waterson,Angela Hill,Red
Roxanne Modafferi,Andrea Lee,Red
Ed Herman,Mike Rodriguez,Red
Ottman Azaitar,Khama Worthy,Red
Alexandr Romanov,Roque Martinez,Red
Brok Weaver,Jalin Turner,Blue
Bryan Barberena,Anthony Ivy,Red
Sabina Mazo,Justine Kish,Red
Ovince Saint Preux,Alonzo Menifield,Red
Brian Kelleher,Ray Rodriguez,Red
Michel Pereira,Zelim Imadaev,Red
Viviane Araujo,Montana De La Rosa,Red
Andre Muniz,Bartosz Fabinski,Red
Cole Smith,Hunter Azure,Blue
Alistair Overeem,Augusto Sakai,Red
Alessio Di Chirico,Zak Cummings,Blue
Anthony Smith,Aleksandar Rakic,Blue
Ricardo Lamas,Bill Algeo,Red
Robbie Lawler,Neil Magny,Blue
Ji Yeon Kim,Alexa Grasso,Blue
Alex Caceres,Austin Springer,Red
Maki Pitolo,Impa Kasanganay,Blue
Sean Brady,Christian Aguilera,Red
Mallory Martin,Hannah Cifers,Red
Polyana Viana,Emily Whitmire,Red
Ike Villanueva,Jordan Wright,Blue
Carlton Minus,Matthew Semelsberger,Blue
Daniel Rodriguez,Dwight Grant,Red
Marcin Prachnio,Mike Rodriguez,Blue
Amanda Lemos,Inoue Mizuki,Red
Mariya Agapova,Shana Dobson,Blue
Austin Hubbard,Joe Solecki,Blue
Pedro Munhoz,Frankie Edgar,Blue
Timur Valiev,Trevin Jones,Draw
Junior Dos Santos,Jairzinho Rozenstruik,Blue
Herbert Burns,Daniel Pineda,Blue
Felice Herrig,Virna Jandiroba,Blue
Sean O'Malley,Marlon Vera,Blue
John Dodson,Merab Dvalishvili,Blue
Stipe Miocic,Daniel Cormier,Red
TJ Brown,Danny Chavez,Blue
Jim Miller,Vinc Pichel,Blue
Chris Daukaus,Parker Porter,Red
Kai Kamaka,Tony Kelley,Red
Ashley Yoder,Livinha Souza,Blue
Tim Means,Laureano Staropoli,Red
Kevin Holland,Joaquin Buckley,Red
Nasrat Haqparast,Alexander Munoz,Red
Derrick Lewis,Aleksei Oleinik,Red
Yana Kunitskaya,Julija Stoliarenko,Red
Beneil Dariush,Scott Holtzman,Red
Maki Pitolo,Darren Stewart,Blue
Omari Akhmedov,Chris Weidman,Blue
Youssef Zalal,Peter Barrett,Red
Irwin Rivera,Ali AlQaisi,Red
Gavin Tucker,Justin Jaynes,Red
Andrew Sanchez,Wellington Turman,Red
Joanne Calderwood,Jennifer Maia,Blue
Johnny Munoz,Nate Maness,Blue
Frankie Saenz,Jonathan Martinez,Blue
Jamall Emmers,Vince Cachero,Red
Vicente Luque,Randy Brown,Red
Derek Brunson,Edmen Shahbazyan,Red
Chris Gutierrez,Cody Durden,Draw
Lando Vannata,Bobby Green,Blue
Alex Oliveira,Peter Sobotta,Red
Robert Whittaker,Darren Till,Red
Mauricio Rua,Rogerio Nogueira,Red
Francisco Trinaldo,Jai Herbert,Red
Carla Esparza,Marina Rodriguez,Red
Khamzat Chimaev,Rhys McKee,Red
Paul Craig,Gadzhimurad Antigulov,Red
Fabricio Werdum,Alexander Gustafsson,Red
Tom Aspinall,Jake Collier,Red
Nicolas Dalby,Jesse Ronson,Draw
Tanner Boser,Raphael Pessoa,Red
Movsar Evloev,Mike Grundy,Red
Ramazan Emeev,Niklas Stolze,Red
Bethe Correia,Pannie Kianzad,Blue
Nathaniel Wood,John Castaneda,Red
Joe Duffy,Joel Alvarez,Blue
Jack Hermansson,Kelvin Gastelum,Red
Marc Diakiese,Rafael Fiziev,Blue
Alexandre Pantoja,Askar Askarov,Blue
Grant Dawson,Nad Narimani,Red
Deiveson Figueiredo,Joseph Benavidez,Red
Roman Dolidze,Khadis Ibragimov,Red
Ariane Lipski,Luana Carolina,Red
Malcolm Gordon,Amir Albazi,Blue
Brett Johns,Montel Jackson,Red
Carlos Felipe,Serghei Spivac,Blue
Davi Ramos,Arman Tsarukyan,Blue
Modestas Bukauskas,Andreas Michailidis,Red
Molly McCann,Taila Santos,Blue
John Phillips,Khamzat Chimaev,Blue
Ricardo Ramos,Lerone Murphy,Blue
Jimmie Rivera,Cody Stamann,Red
Calvin Kattar,Dan Ige,Red
Abdul Razak Alhassan,Mounir Lazzez,Blue
Tim Elliott,Ryan Benoit,Red
Diana Belbita,Liana Jojua,Blue
Jack Shore,Aaron Phillips,Red
Jared Gordon,Chris Fishgold,Red
Jessica Andrade,Rose Namajunas,Blue
Makwan Amirkhani,Danny Henry,Red
Volkan Oezdemir,Jiri Prochazka,Blue
Elizeu Zaleski dos Santos,Muslim Salikhov,Blue
Petr Yan,Jose Aldo,Red
Alexander Volkanovski,Max Holloway,Red
Kamaru Usman,Jorge Masvidal,Red
Amanda Ribas,Paige VanZant,Red
Leonardo Santos,Roman Bogatov,Red
Karol Rosa,Vanessa Melo,Red
Marcin Tybura,Maxim Grishin,Red
Raulian Paiva,Zhalgas Zhumagulov,Red
Martin Day,Davey Grant,Blue
Luis Pena,Khama Worthy,Blue
Philipe Lins,Tanner Boser,Blue
Gian Villante,Maurice Greene,Blue
Sean Woodson,Julian Erosa,Blue
Mike Perry,Mickey Gall,Red
Dustin Poirier,Dan Hooker,Red
Brendan Allen,Kyle Daukaus,Red
Takashi Sato,Jason Witt,Red
Jordan Griffin,Youssef Zalal,Blue
Kay Hansen,Jinh Yu Frey,Red
Jim Miller,Roosevelt Roberts,Red
Marc-Andre Barriault,Oskar Piechota,Draw
Clay Guida,Bobby Green,Blue
Belal Muhammad,Lyman Good,Red
Curtis Blaydes,Alexander Volkov,Red
Josh Emmett,Shane Burgos,Red
Tecia Torres,Brianna Van Buren,Red
Raquel Pennington,Marion Reneau,Red
Cortney Casey,Gillian Robertson,Blue
Frank Camacho,Justin Jaynes,Blue
Roxanne Modafferi,Lauren Murphy,Blue
Austin Hubbard,Max Rohskopf,Red
Mariya Agapova,Hannah Cifers,Red
Andre Fili,Charles Jourdain,Red
Merab Dvalishvili,Gustavo Lopez,Red
Jordan Espinosa,Mark De La Rosa,Red
Karl Roberson,Marvin Vettori,Blue
Charles Rosa,Kevin Aguilar,Red
Jessica Eye,Cynthia Calvillo,Blue
Julia Avila,Gina Mazany,Red
Anthony Ivy,Christian Aguilera,Blue
Tyson Nam,Zarrukh Adashev,Red
Cody Stamann,Brian Kelleher,Red
